"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
22,"trial",NA,0.07,NA,0,0,1.23,0,0,0,0,0,0,0,0,NA,0,0,0,1.33,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0.07,0.2,0,0,0,0,0,0,0,0,2.03,3.77,0,0.03,0,0,0,0,4.33,NA,0,0,0,0,0,5.23,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.87,NA,0,2.97,0,0,NA,1.57,0.07,0.1,0.53,0,0,NA,3.33,2.1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0.07,0,NA,0.2,0.13,0,NA,NA
24,"trial",0,0.03,1.17,NA,0,0,3.73,0,0,3.7,NA,0,0,0,0.37,0,1.6,0,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0.4,0,NA,0,0,0,0,0,0,3.27,0,0,0,2.27,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,7.4,0.83,0.03,0,0,0,0,0,0,0,0,0,3.13,0,0,0,NA,NA,4.9,NA,0,0,0,0,0,0,0,0.1,0,0.6,0,0,1.2,0,0,0,NA
26,"trial",0,0.37,0,0.73,0,9.13,0,0,0,NA,0,1.67,0,0,0,0,0,0,0,NA,0,0,0,0,2.27,12.87,1.2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,2.27,6.83,0,0.2,0,2.43,0,0,0,5.7,NA,NA,0,0,0,0,0,NA,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0.8,0,0,0.13,11.73,0,0,0.3,NA,0,0,0,4.73,0,0,NA,0,0,NA,0,0.73,0,0,0,0,0,0,0.37,0,NA,0,0,3.77
28,"trial",0,1.9,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0.67,0,0.13,0,0,0.17,0,0,NA,0,0,0,0,0,0,0,0,0,2.43,NA,2.3,0,6.03,0,0,0,3.3,NA,NA,1.03,0,0,0,0.83,0,0,0,0,0,0,0,0,2.3,NA,0,0,0,0,0,0,0,0,0,NA,NA,22.07,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,6.27,0,0,0,0,3.9,18.9,0,0,NA,0,0,0,0,2.13,NA,NA,0,0,NA,0,0,0,4.87,0,NA,0
30,"trial",0,5.8,0,0,0,0,0,0,0,5.57,0.1,1.83,0,0,0,0,14.6,0,NA,0,0,0,0,0,0.03,8.37,0,0,0,4.23,NA,0,0,NA,0,0,0,0,0,0,3.53,0,3.3,0,0.17,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,11.07,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0.53,0,0,0,NA,0,0,0,0,0,0,NA,4.13,4.3,0.33,0.4,NA,0,0,0,0,0,0,0,2.17,0,0,0,1.03,0,NA,0,0,NA
32,"trial",0.73,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.77,0,0,NA,0,0,0,0,0,3.5,7.33,0,0,0,0,0.23,0,0,NA,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,NA,0,0.2,2.27,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,2.27,3.83,NA,0.67,0,0,2.07,0.13,NA,0,0.37,0,0,0,0,9.17,0.4,0,0,4.93,NA,0,NA,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0
34,"trial",0,5,1.13,0,0,0.03,NA,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.53,0,0,0,NA,0,0,0,0,0,0,0,6.97,0,0,0.63,0,0,16.93,0,0,0,0,3.4,NA,0,NA,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,3.97,0,3.73,0,0,0,NA,0,0,0,0,0,0,0,0,0.1,0,4.17,0,0,NA,NA,0,0,NA,0,0,0,0,0,0.33,0,0,0.13,0,0,0,0,5.77
36,"trial",0,0,0,0.17,0,3.03,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,8.3,0,0,0,4.03,NA,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.17,0,1.6,0,NA,8.67,0,0.23,0,0,0,0,0,0,0,NA,0,0,NA,3.97,0.5,0.03,NA,0,0,NA,0,0,NA,NA,1.57,0,0,0,0.23,0,0,0,0,5.03
38,"trial",0.27,2.5,0,0,0,0,4.43,0,0.07,0,0.17,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,0,0,0.07,0,0,0,0,NA,0,0,0,3.6,NA,0,0.63,0,0,0,0.3,0,1.13,NA,0,NA,0,0,13.4,NA,0,0,0,0,0,0,0,NA,0,3.7,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,1.23,0.17,0.7,0,0,0,0,0,4.07,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0.17,0,NA,0
40,"trial",0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.57,0,0,0,0,0,0,0.03,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,4.5,0.13,0,0,NA,0,0,0,4.37,0,NA,0,5.93,NA,0,0,9.03,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,2.33,3.67,0,0,0,3.47,0,7.07,1.23,0,0,4.43,0,0,0.93,0,0.57,NA,0,0.03,0,0,0,11.87,0,0,NA,0,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0
